0,1,2,3,4
113,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-y-duoc-dai-hoc-thai-nguyen?keyword=DTY,Đại học Y Dược - Đại học Thái Nguyên,DTY,Thái Nguyên
114,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-khoa-hoc-dai-hoc-thai-nguyen?keyword=DTZ,Đại học Khoa Học - Đại học Thái Nguyên,DTZ,Thái Nguyên
115,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-viet-bac?keyword=DVB,Đại học Việt Bắc,DVB,Thái Nguyên
116,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-van-hoa-the-thao-va-du-lich-thanh-hoa?keyword=DVD,"Đại học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",DVD,Thanh Hóa
117,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-van-hien?keyword=DVH,Đại học Văn Hiến,DVH,TP HCM
118,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-van-lang?keyword=DVL,Đại học Văn Lang,DVL,TP HCM
119,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-trung-vuong?keyword=DVP,Đại học Trưng Vương,DVP,Vĩnh Phúc
120,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-tra-vinh?keyword=DVT,Đại học Trà Vinh,DVT,Trà Vinh
121,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghe-van-xuan?keyword=DVX,Đại học Công Nghệ Vạn Xuân,DVX,Nghệ An
122,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-yersin-da-lat?keyword=DYD,Đại học Yersin Đà Lạt,DYD,Lâm Đồng
